Question ID,Question Text,Question Type,Required,Options,Option IDs,Option Weights,Option Descriptions,Option Sort Orders,Options JSON,Additional Instructions,Guidance,Allow Documents,Require Documents,Allow Comments,User Input Only,User Review Required,Document Type Slug Override,Response Mapping,External Idx,Sort Order,Section Name,Section Description,Section Sort Order,Section External Idx
cbqn_4b5a4b7d0c7c40eab8bcd0804279c08c,"Is your institution’s key information correct as pre-filled from public records? Check legal name, charter type, regulatory identifiers (FDIC certificate, RSSD), and holding-company structure; correct any inaccurate field.",select_one,TRUE,Yes|No,cbqopt_3f8cbfd87d494175808b8477fb5880ff|cbqopt_4a8bcc9dc59f4e4bb27a688b53810066,1|0,In place|Not in place,1|2,"[{""id"":""cbqopt_3f8cbfd87d494175808b8477fb5880ff"",""name"":""Yes"",""description"":""In place"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_4a8bcc9dc59f4e4bb27a688b53810066"",""name"":""No"",""description"":""Not in place"",""value"":0,""sort_order"":""2"",""is_archived"":false}]",Pre-filled by Vantage from FDIC BankFind and Federal Reserve structure data. Beneficial-ownership certification is not requested — regulated banks are exempt and ownership is visible in public structure data. (DL #5),Verify confirmation against the FDIC/NIC extract; any correction is re-verified against public records before scoring.,FALSE,FALSE,TRUE,FALSE,FALSE,,,,1,Institution Profile & Contacts,"Identity fields are pre-filled by Vantage from public FDIC/Federal Reserve records — confirm or correct only. Provide contacts, console users, intended use, and your integration model election. (Decision List items 5, 7, 9, 10, 11)",1,INST
cbqn_6f9a2ca8dd5d467f81276efa838590d2,State the source of funds for the settlement account (one line).,free_text,TRUE,,,,,,[],(DL #12),One-line answer expected; plausibility check against the funding profile in public filings.,FALSE,FALSE,TRUE,FALSE,FALSE,,,LIQ.02,2,Financial Condition Certification (CFO),"Your financial condition is public and Vantage analyzes it from Call Report data — no financial statements are requested from public filers. This certification only closes the gap between the last public filing and today. (Items 12, 2)",2,FIN
cbqn_5beba27a550d41699edf8ec549ae9da9,CFO certification: what is the institution’s current capital category under the Prompt Corrective Action framework?,select_one,TRUE,Well Capitalized|Adequately Capitalized|Undercapitalized or below,cbqopt_eed182992cab4a7b9dacf47647f8169a|cbqopt_b3646487a0344f308f20e35071c937a3|cbqopt_c07431cb30c3463aafd257455f91db74,1|0|0,PCA well capitalized|Below program gate|Fails gate,1|2|3,"[{""id"":""cbqopt_eed182992cab4a7b9dacf47647f8169a"",""name"":""Well Capitalized"",""description"":""PCA well capitalized"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_b3646487a0344f308f20e35071c937a3"",""name"":""Adequately Capitalized"",""description"":""Below program gate"",""value"":0,""sort_order"":""2"",""is_archived"":false},{""id"":""cbqopt_c07431cb30c3463aafd257455f91db74"",""name"":""Undercapitalized or below"",""description"":""Fails gate"",""value"":0,""sort_order"":""3"",""is_archived"":false}]","Certifies the period between the last public filing and today. (DL #12, #2)",GATE-SUPPORT: reconcile the certified category against the latest public Call Report ratios; any conflict or any ratio near a threshold routes to committee review. Human confirms the gate result.,FALSE,FALSE,TRUE,FALSE,TRUE,,,ELIG.02A,3,Financial Condition Certification (CFO),"Your financial condition is public and Vantage analyzes it from Call Report data — no financial statements are requested from public filers. This certification only closes the gap between the last public filing and today. (Items 12, 2)",2,FIN
cbqn_46c80bde18b644e0926824f13cef90da,Pilot banks: does the institution commit to operating within its initial activity limits?,select_one,TRUE,Yes — will operate within initial activity limits|No|Not applicable (not a pilot bank),cbqopt_3cc690c2e2974de19985316eec9a256e|cbqopt_649c4a9dde1047fd8b8cd9cde06f6caf|cbqopt_825a2dc6351748fc913eba946c99d0b9,1|0|1,Committed|Not committed|N/A,1|2|3,"[{""id"":""cbqopt_3cc690c2e2974de19985316eec9a256e"",""name"":""Yes — will operate within initial activity limits"",""description"":""Committed"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_649c4a9dde1047fd8b8cd9cde06f6caf"",""name"":""No"",""description"":""Not committed"",""value"":0,""sort_order"":""2"",""is_archived"":false},{""id"":""cbqopt_825a2dc6351748fc913eba946c99d0b9"",""name"":""Not applicable (not a pilot bank)"",""description"":""N/A"",""value"":1,""sort_order"":""3"",""is_archived"":false}]",(DL #12),Commitment recorded for pilot-stage members; N/A accepted for non-pilot admissions.,FALSE,FALSE,TRUE,FALSE,FALSE,,,LIQ.04,4,Financial Condition Certification (CFO),"Your financial condition is public and Vantage analyzes it from Call Report data — no financial statements are requested from public filers. This certification only closes the gap between the last public filing and today. (Items 12, 2)",2,FIN
cbqn_e0a5b7c5b2a341699f075d9e5ae40e4e,CFO certification: the institution is not subject to any capital directive or capital restoration plan.,select_one,TRUE,Yes|No,cbqopt_9e3e6e52ced24234a2ba1801b3e5e191|cbqopt_abb02e5a0bf44539b4b3758d075af5a1,1|0,In place|Not in place,1|2,"[{""id"":""cbqopt_9e3e6e52ced24234a2ba1801b3e5e191"",""name"":""Yes"",""description"":""In place"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_abb02e5a0bf44539b4b3758d075af5a1"",""name"":""No"",""description"":""Not in place"",""value"":0,""sort_order"":""2"",""is_archived"":false}]",(DL #12),Cross-check against the public enforcement screen; a conflict escalates immediately. Key control.,FALSE,FALSE,TRUE,FALSE,TRUE,,,FIN.05,5,Financial Condition Certification (CFO),"Your financial condition is public and Vantage analyzes it from Call Report data — no financial statements are requested from public filers. This certification only closes the gap between the last public filing and today. (Items 12, 2)",2,FIN
cbqn_eb0fde1e1fb34dddb5fecc0b8b281823,"Disclose any merger, acquisition, or material restructuring in the prior three years, or certify none.",select_one,TRUE,Yes|None to disclose,cbqopt_25e93fa535ce48f6a2b01e44d4808dbe|cbqopt_ccb92d62c00447f794918107c2abc550,1|1,Disclosure provided|Attested none,1|2,"[{""id"":""cbqopt_25e93fa535ce48f6a2b01e44d4808dbe"",""name"":""Yes"",""description"":""Disclosure provided"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_ccb92d62c00447f794918107c2abc550"",""name"":""None to disclose"",""description"":""Attested none"",""value"":1,""sort_order"":""2"",""is_archived"":false}]",Summarize any transaction and integration status in the comment. (DL #12),Reconcile against Federal Reserve structure history; an undisclosed structure change is flagged.,FALSE,FALSE,TRUE,FALSE,FALSE,,,FIN.06,6,Financial Condition Certification (CFO),"Your financial condition is public and Vantage analyzes it from Call Report data — no financial statements are requested from public filers. This certification only closes the gap between the last public filing and today. (Items 12, 2)",2,FIN
cbqn_e7aec69383ba43d4a8d0325bd746f311,"MANDATORY DOCUMENT (1 of 2): Upload your current Board-approved BSA/AML/OFAC Policy, including evidence of Board approval and review within the last 12 months.",free_text,TRUE,,,,,,[],"The second of only two documents required in this onboarding. Program-detail answers in this section are verified against this policy. (DL #13, #14)",Verify Board-approval evidence and review date within the last twelve months; confirm the required program pillars are addressed and list any pillar not evidenced. Locate the policy by content — classification may vary. Key control — human review required.,TRUE,TRUE,TRUE,FALSE,TRUE,,,,7,Compliance Questionnaire (BSA Officer),"Deliberately short: Vantage’s compliance service performs network transaction screening, monitoring, sanctions checks, and alert handling — so we do not ask about those functions at intake. Questions about customer-facing compliance appear only at the pre-launch stage, when those functions become the bank’s. Two narrow artifacts are requested here: the APPROVAL PAGE of your AML policy (never the full manual) and the CONCLUSION SUMMARY of your most recent independent test (never workpapers, never examination material). (Items 13–16)",3,BSA
cbqn_2ce547434cc7464cbcbaf04b73925a55,Name the designated BSA Officer and their reporting line.,free_text,TRUE,,,,,,[],Pre-filled where answerable from public records; confirm or correct. (DL #13),Officer named; must match the key-contacts roster. Someone must be accountable for the program by name.,FALSE,FALSE,TRUE,FALSE,FALSE,,,BSA.03,8,Compliance Questionnaire (BSA Officer),"Deliberately short: Vantage’s compliance service performs network transaction screening, monitoring, sanctions checks, and alert handling — so we do not ask about those functions at intake. Questions about customer-facing compliance appear only at the pre-launch stage, when those functions become the bank’s. Two narrow artifacts are requested here: the APPROVAL PAGE of your AML policy (never the full manual) and the CONCLUSION SUMMARY of your most recent independent test (never workpapers, never examination material). (Items 13–16)",3,BSA
cbqn_f43dd6ffa9de4501b25bb86de0a3d096,Is the bank’s BSA/AML risk assessment current (within the last twelve months)?,select_one,TRUE,Yes|No|In Progress,cbqopt_858d99dd2ba34161adc7017ef073b036|cbqopt_2d053fb00bf34a11b251ed90737f1dfe|cbqopt_137d21f3c00e4ad4aab461a78e66ab1e,1|0|0.5,In place|Not in place|Underway with dated plan,1|2|3,"[{""id"":""cbqopt_858d99dd2ba34161adc7017ef073b036"",""name"":""Yes"",""description"":""In place"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_2d053fb00bf34a11b251ed90737f1dfe"",""name"":""No"",""description"":""Not in place"",""value"":0,""sort_order"":""2"",""is_archived"":false},{""id"":""cbqopt_137d21f3c00e4ad4aab461a78e66ab1e"",""name"":""In Progress"",""description"":""Underway with dated plan"",""value"":0.5,""sort_order"":""3"",""is_archived"":false}]",State the assessment date in the comment. (DL #13),Date within twelve months; In Progress requires a dated completion plan.,FALSE,FALSE,TRUE,FALSE,FALSE,,,BSA.04,9,Compliance Questionnaire (BSA Officer),"Deliberately short: Vantage’s compliance service performs network transaction screening, monitoring, sanctions checks, and alert handling — so we do not ask about those functions at intake. Questions about customer-facing compliance appear only at the pre-launch stage, when those functions become the bank’s. Two narrow artifacts are requested here: the APPROVAL PAGE of your AML policy (never the full manual) and the CONCLUSION SUMMARY of your most recent independent test (never workpapers, never examination material). (Items 13–16)",3,BSA
cbqn_0c294174b87143ad903d84941ba7546d,"Identify your primary correspondent banking relationships other than Vantage, or attest none.",select_one,TRUE,Yes|None to disclose,cbqopt_b5fb32f974094631ac08fc9415ce8e73|cbqopt_07f58046b0da4910ab1db526c002de01,1|1,Disclosure provided in comment|Attested none,1|2,"[{""id"":""cbqopt_b5fb32f974094631ac08fc9415ce8e73"",""name"":""Yes"",""description"":""Disclosure provided in comment"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_07f58046b0da4910ab1db526c002de01"",""name"":""None to disclose"",""description"":""Attested none"",""value"":1,""sort_order"":""2"",""is_archived"":false}]",Bears on wind-down feasibility and concentration of the Due-From-Vantage exposure. (Add-on 4),Relationships listed or none attested; a member with no alternate correspondent has elevated exit-dependence on Vantage — note for the wind-down assessment and Reg F concentration view.,FALSE,FALSE,TRUE,FALSE,FALSE,,,LIQ.05,10,Financial Condition Certification (CFO),"Your financial condition is public and Vantage analyzes it from Call Report data — no financial statements are requested from public filers. This certification only closes the gap between the last public filing and today. (Items 12, 2)",2,FIN
cbqn_cb33aa1ebe034f7fabda2b4435265130,Is BSA/AML training delivered to appropriate personnel with completion tracked?,select_one,TRUE,Yes|No,cbqopt_4be17655c034473a8f358f760dc33322|cbqopt_32322d0a428c4a8aade7649371f058f6,1|0,In place|Not in place,1|2,"[{""id"":""cbqopt_4be17655c034473a8f358f760dc33322"",""name"":""Yes"",""description"":""In place"",""value"":1,""sort_order"":""1"",""is_archived"":false},{""id"":""cbqopt_32322d0a428c4a8aade7649371f058f6"",""name"":""No"",""description"":""Not in place"",""value"":0,""sort_order"":""2"",""is_archived"":false}]",State delivery method and tracking in the comment. (DL #13),Cadence and tracking mechanism both present.,FALSE,FALSE,TRUE,FALSE,FALSE,,,BSA.11,11,Compliance Questionnaire (BSA Officer),"Deliberately short: Vantage’s compliance service performs network transaction screening, monitoring, sanctions checks, and alert handling — so we do not ask about those functions at intake. Questions about customer-facing compliance appear only at the pre-launch stage, when those functions become the bank’s. Two narrow artifacts are requested here: the APPROVAL PAGE of your AML policy (never the full manual) and the CONCLUSION SUMMARY of your most recent independent test (never workpapers, never examination material). (Items 13–16)",3,BSA
